Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,Not Graduate,Yes,17479,5548,145,180,0,Rural,Rejected
Female,Yes,Graduate,No,5384,7269,77,360,0,Semiurban,Rejected
Female,Yes,Not Graduate,No,19368,3003,58,360,1,Rural,Approved
Male,Yes,Graduate,No,18448,1461,247,360,0,Rural,Rejected
Female,No,Graduate,No,16722,2185,213,300,0,Semiurban,Rejected
Female,Yes,Graduate,No,10453,6740,531,300,0,Urban,Rejected
Female,Yes,Not Graduate,No,7602,7258,77,360,1,Rural,Approved
Male,No,Not Graduate,Yes,19757,3195,64,360,1,Urban,Approved
Female,Yes,Graduate,Yes,12804,551,440,240,0,Semiurban,Rejected
Female,No,Not Graduate,No,10649,1582,583,180,0,Semiurban,Rejected
Female,No,Not Graduate,No,18935,6528,437,300,0,Rural,Rejected
Male,No,Not Graduate,Yes,17794,4334,438,300,1,Rural,Approved
Male,No,Not Graduate,No,5130,5503,557,360,1,Urban,Approved
Male,Yes,Graduate,Yes,17282,32,605,360,1,Semiurban,Approved
Female,No,Graduate,No,13134,3661,151,240,0,Urban,Rejected
Female,No,Not Graduate,No,16204,7211,50,300,0,Semiurban,Rejected
Male,No,Not Graduate,Yes,6486,7726,340,300,1,Semiurban,Approved
Female,No,Not Graduate,Yes,14551,562,196,300,1,Urban,Approved
Female,No,Not Graduate,Yes,15474,1675,310,180,1,Semiurban,Approved
Female,Yes,Graduate,No,15926,1232,78,360,0,Rural,Rejected
Female,Yes,Graduate,No,14251,8171,327,180,1,Semiurban,Approved
Male,No,Not Graduate,No,2000,8041,110,180,0,Rural,Rejected
Female,Yes,Not Graduate,No,17114,9978,171,300,1,Semiurban,Approved
Male,Yes,Graduate,No,6617,9688,348,300,1,Semiurban,Approved
Female,No,Graduate,Yes,18816,5270,464,300,1,Semiurban,Approved
Male,No,Not Graduate,No,13125,2851,345,360,0,Urban,Rejected
Female,No,Not Graduate,No,2684,8539,687,300,0,Semiurban,Rejected
Male,Yes,Graduate,No,19525,4120,53,240,0,Urban,Rejected
Female,Yes,Graduate,Yes,13258,6506,67,240,0,Semiurban,Rejected
Male,No,Not Graduate,Yes,15787,8506,146,180,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,2655,6919,260,360,0,Rural,Rejected
Female,No,Graduate,No,15114,7442,597,180,0,Urban,Rejected
Female,Yes,Graduate,Yes,13632,2904,689,360,1,Urban,Approved
Female,Yes,Not Graduate,No,9571,5520,209,360,1,Rural,Approved
Female,Yes,Graduate,No,10920,2989,591,240,0,Rural,Rejected
Female,Yes,Not Graduate,Yes,6932,8288,298,300,1,Rural,Approved
Female,Yes,Graduate,No,3729,1688,418,300,1,Rural,Rejected
Male,Yes,Not Graduate,No,2364,2906,379,360,0,Urban,Rejected
Male,Yes,Graduate,Yes,4923,4931,252,360,1,Rural,Rejected
Male,Yes,Not Graduate,Yes,15287,5286,227,300,1,Semiurban,Approved
Female,No,Not Graduate,Yes,2553,6903,460,180,1,Urban,Rejected
Male,Yes,Not Graduate,Yes,4757,6067,363,300,1,Semiurban,Rejected
Male,Yes,Graduate,No,10130,5441,202,240,1,Urban,Approved
Male,Yes,Not Graduate,Yes,8034,541,201,180,0,Semiurban,Rejected
Female,Yes,Not Graduate,Yes,7076,10000,180,180,1,Rural,Approved
Male,No,Graduate,No,6716,4873,614,300,0,Rural,Rejected
Female,Yes,Not Graduate,No,10861,8174,458,180,1,Urban,Approved
Female,Yes,Graduate,Yes,7907,3546,481,300,1,Rural,Approved
Female,Yes,Graduate,No,14195,5203,628,360,1,Rural,Approved
Male,No,Not Graduate,No,6589,4173,182,180,0,Rural,Rejected
Female,No,Graduate,Yes,17565,7318,613,300,0,Semiurban,Rejected
Female,No,Not Graduate,No,16743,9929,302,300,1,Semiurban,Approved
Male,Yes,Not Graduate,No,11475,3204,261,360,1,Rural,Approved
Female,No,Graduate,No,19083,4164,470,360,1,Rural,Approved
Male,No,Not Graduate,No,3115,4001,404,240,1,Urban,Rejected
Female,No,Graduate,Yes,18286,1267,492,360,1,Semiurban,Approved
Male,Yes,Not Graduate,No,2172,1674,469,300,1,Rural,Rejected
Male,No,Graduate,Yes,14903,1120,153,240,1,Semiurban,Approved
Male,No,Not Graduate,No,16427,7996,298,180,1,Semiurban,Approved
Female,No,Not Graduate,No,15732,5543,407,300,0,Rural,Rejected
Female,Yes,Graduate,No,18308,1222,139,240,0,Rural,Rejected
Female,No,Graduate,No,14760,5873,598,180,0,Urban,Rejected
Female,Yes,Not Graduate,Yes,13355,6832,580,240,1,Semiurban,Approved
Male,Yes,Graduate,Yes,19169,8442,557,360,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,11187,9011,523,240,1,Rural,Approved
Female,No,Not Graduate,Yes,3759,7797,157,300,0,Semiurban,Rejected
Female,No,Not Graduate,Yes,1839,4423,484,240,1,Rural,Rejected
Male,Yes,Not Graduate,No,19520,823,443,180,0,Urban,Rejected
Male,No,Graduate,Yes,13032,7296,636,240,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,19930,2453,124,180,0,Rural,Rejected
Female,No,Not Graduate,Yes,6839,4397,666,180,1,Semiurban,Approved
Male,Yes,Graduate,Yes,8942,7480,658,240,0,Semiurban,Rejected
Male,No,Graduate,Yes,6042,6151,688,180,0,Rural,Rejected
Female,No,Not Graduate,Yes,11067,6509,458,300,1,Urban,Approved
Female,Yes,Graduate,No,13572,7785,272,360,1,Rural,Approved
Female,Yes,Graduate,No,12576,6028,494,240,1,Semiurban,Approved
Male,No,Not Graduate,Yes,2117,6458,450,300,1,Rural,Rejected
Male,Yes,Not Graduate,No,14540,6720,285,360,0,Rural,Rejected
Female,No,Graduate,No,4041,4967,619,180,1,Urban,Rejected
Male,No,Not Graduate,Yes,11797,3869,166,300,1,Rural,Approved
Male,Yes,Graduate,Yes,17568,382,230,360,1,Rural,Approved
Female,No,Graduate,Yes,17389,3907,299,180,1,Rural,Approved
Female,No,Not Graduate,Yes,11383,8401,178,180,1,Urban,Approved
Male,Yes,Graduate,Yes,15117,4024,360,240,1,Urban,Approved
Female,Yes,Graduate,No,3048,9602,610,240,0,Rural,Rejected
Male,No,Graduate,No,5126,8130,669,240,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,16883,9589,405,360,0,Rural,Rejected
Male,No,Not Graduate,No,6108,161,193,360,0,Urban,Rejected
Male,Yes,Graduate,No,13269,4940,618,300,1,Semiurban,Approved
Female,No,Graduate,Yes,4735,7074,269,360,1,Urban,Rejected
Female,Yes,Graduate,No,8672,9999,325,300,1,Semiurban,Approved
Male,Yes,Graduate,Yes,19489,6195,129,360,0,Semiurban,Rejected
Female,No,Graduate,Yes,13700,1705,310,300,0,Urban,Rejected
Female,No,Graduate,Yes,1748,1559,264,300,1,Urban,Rejected
Male,Yes,Graduate,No,10739,9814,404,300,1,Urban,Approved
Male,Yes,Graduate,Yes,15795,196,598,240,0,Rural,Rejected
Female,Yes,Graduate,Yes,13933,3844,324,360,1,Urban,Approved
Male,Yes,Not Graduate,Yes,5771,5444,579,360,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,7768,7352,288,240,1,Rural,Approved
Male,Yes,Graduate,Yes,11911,7649,359,300,1,Rural,Approved
Male,No,Graduate,No,16189,5049,692,180,0,Semiurban,Rejected
Female,No,Graduate,Yes,8157,485,432,240,1,Rural,Approved
Male,Yes,Graduate,No,7848,2609,438,360,0,Urban,Rejected
Female,Yes,Graduate,No,14180,6140,152,240,0,Rural,Rejected
Female,Yes,Not Graduate,No,11752,3547,535,360,1,Rural,Approved
Male,No,Graduate,Yes,3426,9099,604,300,1,Semiurban,Rejected
Male,Yes,Graduate,Yes,10039,4297,700,180,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,14796,7854,228,180,0,Rural,Rejected
Female,No,Not Graduate,No,4707,7580,429,240,0,Rural,Rejected
Female,No,Graduate,Yes,12498,109,600,300,1,Rural,Approved
Female,Yes,Graduate,No,10753,84,297,240,0,Urban,Rejected
Female,No,Not Graduate,Yes,9366,3732,98,240,0,Urban,Rejected
Male,Yes,Not Graduate,Yes,17848,9821,564,240,1,Rural,Approved
Male,No,Graduate,No,4216,4526,195,180,0,Urban,Rejected
Male,Yes,Not Graduate,Yes,9394,5352,243,180,0,Semiurban,Rejected
Female,Yes,Not Graduate,No,17810,7442,665,240,0,Semiurban,Rejected
Male,No,Not Graduate,Yes,19302,2698,249,180,1,Rural,Approved
Female,No,Not Graduate,Yes,5938,2892,550,300,1,Semiurban,Approved
Female,Yes,Graduate,No,10144,9334,687,180,0,Semiurban,Rejected
Male,No,Not Graduate,No,18807,7133,255,180,0,Urban,Rejected
Female,Yes,Graduate,No,19190,6559,201,240,0,Semiurban,Rejected
Male,No,Not Graduate,No,8839,9610,146,180,1,Semiurban,Approved
Female,No,Not Graduate,No,6886,1873,122,240,1,Semiurban,Approved
Female,Yes,Graduate,No,7712,4291,430,360,1,Semiurban,Approved
Female,No,Not Graduate,Yes,1738,1108,245,360,1,Semiurban,Rejected
Female,Yes,Graduate,No,6156,9832,391,180,1,Rural,Approved
Male,Yes,Not Graduate,Yes,11614,2912,508,360,0,Rural,Rejected
Female,No,Not Graduate,No,15171,6922,580,360,1,Urban,Approved
Female,No,Not Graduate,Yes,17168,9071,159,360,0,Semiurban,Rejected
Female,No,Graduate,Yes,17650,4132,261,360,0,Rural,Rejected
Male,Yes,Not Graduate,Yes,13980,9925,335,300,1,Urban,Approved
Male,Yes,Graduate,No,11012,2111,426,300,1,Semiurban,Approved
Male,No,Graduate,Yes,9280,5788,204,360,0,Urban,Rejected
Female,Yes,Graduate,No,17365,1735,140,180,0,Urban,Rejected
Male,No,Not Graduate,No,4765,7023,429,360,0,Urban,Rejected
Male,Yes,Graduate,No,10557,9943,280,300,1,Rural,Approved
Female,No,Graduate,No,10594,9860,87,360,0,Urban,Rejected
Male,Yes,Graduate,No,6285,5393,297,300,0,Urban,Rejected
Male,Yes,Not Graduate,No,7360,3798,693,360,0,Urban,Rejected
Female,Yes,Not Graduate,No,18934,3925,160,240,0,Semiurban,Rejected
Female,No,Graduate,Yes,15504,9223,615,240,0,Rural,Rejected
Male,No,Not Graduate,Yes,14999,9954,602,360,0,Urban,Rejected
Male,No,Graduate,Yes,9714,6803,602,360,1,Semiurban,Approved
Female,No,Graduate,Yes,4956,5520,584,180,1,Rural,Rejected
Male,No,Not Graduate,No,12265,5496,181,240,0,Urban,Rejected
Male,Yes,Not Graduate,No,4825,9190,217,300,0,Urban,Rejected
Female,No,Graduate,No,6892,1898,692,180,1,Semiurban,Approved
Female,Yes,Graduate,No,17794,286,56,360,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,4154,1972,115,180,1,Semiurban,Rejected
Female,Yes,Graduate,Yes,12326,8301,667,300,0,Semiurban,Rejected
Male,No,Graduate,No,3535,4644,152,240,0,Rural,Rejected
Male,No,Graduate,Yes,17740,8942,304,360,1,Semiurban,Approved
Male,Yes,Graduate,Yes,15418,292,261,300,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,9586,5589,215,180,1,Rural,Approved
Female,Yes,Graduate,Yes,12058,5875,374,360,0,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,10045,9985,396,300,0,Rural,Rejected
Female,No,Graduate,No,3516,2028,446,180,1,Urban,Rejected
Male,No,Graduate,Yes,6562,466,298,180,0,Rural,Rejected
Male,Yes,Not Graduate,Yes,1666,1030,612,300,1,Urban,Rejected
Male,No,Not Graduate,Yes,6632,3907,194,360,1,Semiurban,Approved
Male,Yes,Graduate,No,7640,3140,627,240,1,Rural,Approved
Female,No,Graduate,No,16895,9507,640,240,1,Semiurban,Approved
Male,Yes,Not Graduate,No,9875,5708,164,180,1,Rural,Approved
Female,Yes,Graduate,Yes,13318,3592,117,360,1,Rural,Approved
Female,Yes,Graduate,Yes,19834,3104,485,360,0,Rural,Rejected
Male,No,Not Graduate,No,5974,3509,555,240,1,Urban,Approved
Female,No,Graduate,No,13603,7031,282,240,1,Semiurban,Approved
Male,Yes,Not Graduate,No,4104,6671,673,240,1,Semiurban,Rejected
Male,No,Graduate,No,16416,7316,516,240,0,Rural,Rejected
Male,Yes,Not Graduate,Yes,2966,9623,355,360,0,Urban,Rejected
Male,No,Graduate,Yes,10274,3686,398,240,1,Urban,Approved
Female,Yes,Not Graduate,Yes,13970,1947,366,300,1,Rural,Approved
Female,No,Graduate,Yes,13407,7233,555,300,0,Urban,Rejected
Female,Yes,Graduate,No,4142,4299,495,180,0,Semiurban,Rejected
Male,No,Graduate,No,4106,7375,335,300,1,Rural,Rejected
Female,Yes,Graduate,No,9073,4278,480,300,0,Rural,Rejected
Male,No,Not Graduate,Yes,10924,4772,494,300,0,Rural,Rejected
Female,No,Graduate,No,11439,5888,404,240,0,Urban,Rejected
Male,No,Not Graduate,Yes,7415,2470,655,240,0,Urban,Rejected
Male,Yes,Not Graduate,No,2826,3139,276,360,0,Rural,Rejected
Female,Yes,Not Graduate,Yes,10470,9551,646,300,0,Rural,Rejected
Male,No,Graduate,Yes,15727,5918,687,300,0,Semiurban,Rejected
Female,Yes,Not Graduate,No,3462,7036,140,300,1,Rural,Rejected
Male,Yes,Graduate,No,8867,549,197,360,1,Semiurban,Approved
Male,No,Graduate,Yes,9731,5295,235,240,1,Rural,Approved
Female,No,Not Graduate,No,4963,7668,119,300,0,Urban,Rejected
Female,No,Not Graduate,Yes,16047,4484,261,240,0,Rural,Rejected
Female,No,Not Graduate,Yes,2607,5167,531,360,0,Rural,Rejected
Female,No,Graduate,Yes,16999,2519,151,240,1,Rural,Approved
Female,Yes,Graduate,No,14659,393,174,240,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,12816,6079,119,360,0,Semiurban,Rejected
Male,No,Graduate,Yes,1631,4165,612,180,0,Urban,Rejected
Male,No,Graduate,Yes,19933,2336,365,300,1,Urban,Approved
Female,No,Graduate,Yes,19732,6141,375,360,1,Rural,Approved
Male,Yes,Graduate,No,3250,2349,255,180,1,Rural,Rejected
Female,No,Not Graduate,Yes,15229,3658,494,240,0,Semiurban,Rejected
Male,Yes,Graduate,Yes,10593,769,103,300,0,Semiurban,Rejected
Female,No,Not Graduate,No,13371,2393,647,240,1,Rural,Approved
Female,Yes,Graduate,Yes,8836,1470,55,240,1,Rural,Approved
Female,No,Not Graduate,Yes,8674,7709,471,300,0,Semiurban,Rejected
Male,Yes,Graduate,No,3275,2155,156,240,0,Rural,Rejected
Male,Yes,Graduate,Yes,10695,6195,60,300,0,Urban,Rejected
Female,Yes,Not Graduate,Yes,6457,4942,476,360,0,Urban,Rejected
Female,No,Graduate,Yes,16610,5484,686,360,0,Semiurban,Rejected
Female,Yes,Graduate,Yes,7038,5939,553,300,1,Urban,Approved
Female,Yes,Not Graduate,Yes,15488,6959,382,180,0,Rural,Rejected
Female,No,Not Graduate,Yes,15272,9511,73,180,1,Rural,Approved
Female,No,Graduate,Yes,12185,9161,610,300,1,Rural,Approved
Male,Yes,Not Graduate,Yes,2860,4052,421,300,0,Rural,Rejected
Female,No,Not Graduate,No,2327,1523,347,180,0,Rural,Rejected
Female,Yes,Graduate,Yes,17382,3250,402,240,0,Urban,Rejected
Female,No,Not Graduate,No,19708,3414,571,180,1,Rural,Approved
Male,Yes,Not Graduate,No,16147,3091,193,360,0,Semiurban,Rejected
Male,Yes,Graduate,Yes,16459,5661,670,240,1,Semiurban,Approved
Female,Yes,Graduate,Yes,8504,5265,145,240,1,Semiurban,Approved
Male,Yes,Graduate,No,17556,5868,371,180,1,Urban,Approved
Male,No,Graduate,No,16733,8412,376,300,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,16400,6546,452,300,1,Rural,Approved
Female,Yes,Not Graduate,Yes,12113,4967,556,180,0,Urban,Rejected
Female,Yes,Not Graduate,No,13863,5690,587,300,1,Rural,Approved
Male,Yes,Not Graduate,Yes,12538,2839,103,180,1,Semiurban,Approved
Male,Yes,Graduate,Yes,12313,1695,631,300,1,Urban,Approved
Female,Yes,Graduate,No,13443,1261,52,240,0,Urban,Rejected
Female,No,Not Graduate,Yes,3723,9516,519,300,0,Semiurban,Rejected
Female,No,Graduate,Yes,14976,9708,650,180,1,Semiurban,Approved
Male,No,Not Graduate,No,14259,6112,181,240,0,Rural,Rejected
Female,Yes,Graduate,Yes,11178,3790,440,360,0,Rural,Rejected
Male,No,Graduate,Yes,17658,9563,443,240,0,Rural,Rejected
Male,Yes,Graduate,No,18306,6797,180,360,0,Rural,Rejected
Male,No,Not Graduate,No,14757,1809,80,300,1,Rural,Approved
Female,Yes,Not Graduate,Yes,1946,3638,238,180,1,Urban,Rejected
Female,Yes,Not Graduate,Yes,9378,1266,146,180,0,Rural,Rejected
Female,No,Graduate,Yes,6616,2882,640,180,0,Urban,Rejected
Female,Yes,Not Graduate,Yes,14556,7704,695,300,0,Rural,Rejected
Male,Yes,Not Graduate,No,3599,5675,370,180,0,Rural,Rejected
Female,No,Graduate,No,6596,7348,279,180,1,Rural,Approved
Male,No,Graduate,No,17450,2693,303,180,0,Urban,Rejected
Female,Yes,Graduate,Yes,4576,4584,604,360,1,Urban,Rejected
Male,No,Graduate,Yes,7201,3482,121,180,1,Urban,Approved
Female,Yes,Not Graduate,No,4594,9503,316,240,1,Rural,Rejected
Female,No,Graduate,No,4628,5130,531,180,0,Urban,Rejected
Male,No,Graduate,Yes,8366,7608,403,300,0,Semiurban,Rejected
Male,No,Graduate,No,2497,926,395,180,1,Urban,Rejected
Male,No,Graduate,Yes,5331,7465,397,360,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,19370,7502,353,300,1,Semiurban,Approved
Female,No,Not Graduate,No,12465,7900,122,240,1,Rural,Approved
Male,Yes,Not Graduate,No,14770,6604,573,180,1,Urban,Approved
Female,Yes,Not Graduate,Yes,9893,2529,389,180,0,Rural,Rejected
Male,No,Not Graduate,No,13275,470,327,180,0,Rural,Rejected
Male,Yes,Graduate,No,4817,8197,98,240,1,Semiurban,Rejected
Male,No,Not Graduate,Yes,19089,9788,85,240,0,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,10467,7180,161,360,1,Rural,Approved
Female,No,Graduate,Yes,10868,8573,644,300,0,Rural,Rejected
Female,No,Not Graduate,Yes,9016,9805,355,300,1,Semiurban,Approved
Male,No,Not Graduate,No,7474,8846,440,240,1,Rural,Approved
Female,Yes,Graduate,Yes,17387,6217,631,300,1,Urban,Approved
Female,Yes,Not Graduate,Yes,19293,7551,255,180,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,2703,9762,233,360,0,Semiurban,Rejected
Female,Yes,Graduate,No,19009,5020,506,180,1,Rural,Approved
Female,Yes,Not Graduate,No,12383,9330,108,300,1,Rural,Approved
Female,No,Graduate,No,5968,6162,95,300,0,Urban,Rejected
Female,No,Not Graduate,No,10785,7072,690,240,1,Rural,Approved
Male,No,Not Graduate,No,6374,6186,621,180,0,Semiurban,Rejected
Female,Yes,Graduate,No,19039,8199,157,360,0,Semiurban,Rejected
Male,No,Graduate,Yes,5293,7495,636,300,1,Urban,Approved
Female,Yes,Not Graduate,No,13247,1806,487,300,0,Semiurban,Rejected
Female,Yes,Graduate,Yes,3339,6146,349,240,0,Urban,Rejected
Male,Yes,Graduate,Yes,2737,2900,142,180,0,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,14246,5437,492,360,0,Urban,Rejected
Female,No,Not Graduate,Yes,15787,8749,195,180,1,Rural,Approved
Male,Yes,Not Graduate,Yes,1693,288,292,300,1,Rural,Rejected
Female,No,Graduate,No,14886,5312,542,240,1,Rural,Approved
Male,Yes,Not Graduate,No,16296,8027,286,180,0,Urban,Rejected
Female,Yes,Graduate,Yes,1823,2734,410,180,0,Semiurban,Rejected
Female,No,Graduate,Yes,14345,4471,590,180,1,Rural,Approved
Male,No,Graduate,Yes,18976,5728,206,360,1,Semiurban,Approved
Female,No,Graduate,No,12206,2934,694,360,1,Rural,Approved
Male,Yes,Graduate,Yes,6624,1058,319,180,0,Rural,Rejected
Male,No,Graduate,No,16490,1489,582,300,0,Rural,Rejected
Female,No,Graduate,Yes,14922,5354,67,360,1,Semiurban,Approved
Male,Yes,Graduate,No,14558,4523,345,360,0,Semiurban,Rejected
Male,No,Not Graduate,No,2100,6367,572,240,1,Urban,Rejected
Female,No,Graduate,No,11146,873,214,240,1,Semiurban,Approved
Male,Yes,Graduate,Yes,19883,9545,594,180,1,Urban,Approved
Female,No,Graduate,Yes,19468,7778,250,180,1,Rural,Approved
Male,No,Not Graduate,Yes,4730,4231,650,240,0,Semiurban,Rejected
Female,Yes,Graduate,No,17569,1637,478,240,1,Urban,Approved
Male,No,Graduate,No,17471,1928,79,240,0,Rural,Rejected
Female,Yes,Not Graduate,No,6147,9166,434,300,1,Rural,Approved
Male,No,Graduate,No,15925,74,614,240,0,Urban,Rejected
Male,Yes,Graduate,No,7105,7214,262,360,1,Semiurban,Approved
Male,No,Graduate,No,9331,5385,439,360,0,Semiurban,Rejected
Female,Yes,Graduate,No,2930,2229,682,180,1,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,16947,2644,388,180,1,Semiurban,Approved
Male,Yes,Graduate,Yes,5161,8644,613,300,1,Urban,Approved
Male,No,Not Graduate,Yes,1684,275,679,360,0,Semiurban,Rejected
Female,Yes,Graduate,No,5151,5347,533,300,0,Urban,Rejected
Male,No,Not Graduate,Yes,16523,337,295,240,0,Rural,Rejected
Female,Yes,Graduate,No,6301,5352,59,180,0,Urban,Rejected
Male,No,Not Graduate,No,12857,5710,570,180,1,Semiurban,Approved
Female,No,Graduate,Yes,16042,6008,526,300,0,Urban,Rejected
Female,No,Graduate,No,2670,7282,482,240,0,Semiurban,Rejected
Male,No,Not Graduate,No,19841,8935,430,180,1,Rural,Approved
Male,No,Graduate,Yes,14182,6445,444,180,1,Rural,Approved
Female,No,Not Graduate,No,11477,5688,60,360,1,Semiurban,Approved
Male,Yes,Graduate,No,2170,4375,245,180,1,Semiurban,Rejected
Female,No,Graduate,No,13479,8547,615,240,0,Urban,Rejected
Female,No,Graduate,Yes,11408,1270,272,300,1,Semiurban,Approved
Female,No,Graduate,Yes,18650,6880,170,360,0,Rural,Rejected
Female,No,Graduate,Yes,10946,784,522,360,1,Urban,Approved
Male,No,Not Graduate,Yes,5149,338,599,360,0,Semiurban,Rejected
Female,No,Graduate,Yes,3843,2023,114,180,0,Semiurban,Rejected
Male,No,Graduate,No,3926,1017,279,180,1,Urban,Rejected
Male,No,Not Graduate,No,12289,4239,106,300,0,Urban,Rejected
Male,No,Not Graduate,Yes,6263,4292,177,360,0,Rural,Rejected
Female,Yes,Not Graduate,No,11055,2630,137,360,1,Urban,Approved
Female,No,Graduate,Yes,15998,4304,499,360,0,Semiurban,Rejected
Female,Yes,Graduate,Yes,16933,9094,234,360,0,Rural,Rejected
Male,No,Graduate,No,5766,4545,289,240,0,Semiurban,Rejected
Female,Yes,Not Graduate,No,12639,3204,390,180,0,Urban,Rejected
Female,No,Not Graduate,Yes,12278,8775,341,360,1,Rural,Approved
Male,No,Not Graduate,No,11309,5150,79,180,0,Rural,Rejected
Male,No,Not Graduate,Yes,12766,6887,331,180,0,Urban,Rejected
Male,No,Graduate,Yes,9583,9044,168,300,0,Semiurban,Rejected
Male,No,Not Graduate,No,17372,8971,239,300,1,Rural,Approved
Male,No,Not Graduate,No,14185,1134,419,240,0,Semiurban,Rejected
Female,No,Graduate,Yes,7465,6907,108,360,0,Urban,Rejected
Female,No,Not Graduate,No,5575,7410,319,240,1,Rural,Approved
Female,Yes,Not Graduate,Yes,9394,3525,304,360,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,11438,2648,673,180,1,Rural,Approved
Male,Yes,Graduate,No,3140,7238,683,180,1,Rural,Rejected
Male,No,Not Graduate,Yes,18388,3866,52,240,1,Rural,Approved
Male,No,Not Graduate,No,4686,4626,402,180,1,Urban,Rejected
Male,Yes,Not Graduate,No,5349,7682,167,180,0,Urban,Rejected
Male,No,Graduate,No,7185,4883,250,240,1,Semiurban,Approved
